"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0008150","biological_process",0.828433843133973,2441,1.19195944867486,8.90450486592524e-153,4.85295515192926e-149,103394,2833,17509,1.00899002854642,0.00579814361315001,0.0262675666597403,1.19195944867486,"biological_process",4.85295515192926e-149,148.313993722153,"conserved_human_in_mouse"
"GO:0009987","cellular process",0.797198411444597,2361,1.19806697262218,1.16136636641571e-114,3.16472334848282e-111,103351,2607,15732,1.03337686854888,3.13840018068216e-07,6.47889431239309e-06,1.19806697262218,"cellular process",3.16472334848282e-111,110.499664248831,"conserved_human_in_mouse"
"GO:0008152","metabolic process",0.587325895142221,1920,1.32243280187422,5.04519365537824e-88,9.1654351406038e-85,96973,1791,9468,1.17961144910608,1.46732599963935e-28,2.22136852723179e-26,1.32243280187422,"metabolic process",9.1654351406038e-85,84.0378469115335,"conserved_human_in_mouse"
"GO:0044238","primary metabolic process",0.532766564747568,1797,1.36446578233987,2.70891460300772e-87,3.69089614659802e-84,96563,1613,8299,1.21202128083079,2.76154681536821e-30,4.42659710110493e-28,1.36446578233987,"primary metabolic process",3.69089614659802e-84,83.4328681746889,"conserved_human_in_mouse"
"GO:0043170","macromolecule metabolic process",0.511833355212521,1724,1.36257435380832,1.73261647819915e-78,1.88855196123708e-75,101141,1508,7642,1.2305406097782,1.11631792225017e-30,1.84361596250408e-28,1.36257435380832,"macromolecule metabolic process",1.88855196123708e-75,74.7238710615814,"conserved_human_in_mouse"
"GO:0090304","nucleic acid metabolic process",0.326245627134354,1254,1.55490682849567,4.10060455186509e-77,3.72471580127746e-74,105788,954,4301,1.38318596845475,2.32179079634408e-34,1.05447998667294e-31,1.55490682849567,"nucleic acid metabolic process",3.72471580127746e-74,73.4289068586595,"conserved_human_in_mouse"
"GO:0016070","RNA metabolic process",0.300994895326358,1177,1.58186299328395,1.8728716695471e-74,1.45816437129024e-71,106176,874,3803,1.43313383596617,6.75779492697698e-37,9.20749558800614e-34,1.58186299328395,"RNA metabolic process",1.45816437129024e-71,70.836193517499,"conserved_human_in_mouse"
"GO:0006139","nucleobase-containing compound metabolic process",0.355060487500536,1322,1.50619306523691,3.02314887966875e-74,2.05952017427434e-71,104710,1033,4827,1.33451870448864,4.45910143620783e-31,7.59440713354147e-29,1.50619306523691,"nucleobase-containing compound metabolic process",2.05952017427434e-71,70.6862339495036,"conserved_human_in_mouse"
"GO:0080090","regulation of primary metabolic process",0.345044848451412,1287,1.50887941175704,1.51902104674605e-71,9.19851633862884e-69,106414,976,4391,1.38607912552122,8.92924115703305e-36,7.83098725704696e-33,1.50887941175704,"regulation of primary metabolic process",9.19851633862884e-69,68.0362822159053,"conserved_human_in_mouse"
"GO:0034654","nucleobase-containing compound biosynthetic process",0.307439081225783,1182,1.55528483203691,2.16683248693889e-70,1.18092370538169e-67,103368,883,3981,1.38315282624858,3.50367061670261e-31,6.36500162034308e-29,1.55528483203691,"nucleobase-containing compound biosynthetic process",1.18092370538169e-67,66.9277781594585,"conserved_human_in_mouse"
"GO:0141187","nucleic acid biosynthetic process",0.294404494983383,1145,1.5733037713691,5.02707035999212e-70,2.49068486017791e-67,104824,841,3727,1.40714303552984,3.87080158589521e-32,8.78994526797037e-30,1.5733037713691,"nucleic acid biosynthetic process",2.49068486017791e-67,66.603681219129,"conserved_human_in_mouse"
"GO:0032774","RNA biosynthetic process",0.289800863052899,1132,1.58014989246395,6.02459646171679e-70,2.73617089302971e-67,104592,826,3633,1.41780430908137,1.14969852986265e-32,3.13292849387571e-30,1.58014989246395,"RNA biosynthetic process",2.73617089302971e-67,66.5628567813737,"conserved_human_in_mouse"
"GO:0010467","gene expression",0.403251553747438,1430,1.43453623185195,5.24437845741766e-69,2.19860481484048e-66,104162,1142,5594,1.27304948156304,3.97830634781074e-26,4.61314246714224e-24,1.43453623185195,"gene expression",2.19860481484048e-66,65.6578528252811,"conserved_human_in_mouse"
"GO:0019219","regulation of nucleobase-containing compound metabolic process",0.281027078997678,1097,1.57910130269291,1.25568153650674e-66,4.88818883854411e-64,108420,787,3368,1.4571501053213,3.67376728835409e-35,2.22467019128109e-32,1.57910130269291,"regulation of nucleobase-containing compound metabolic process",4.88818883854411e-64,63.3108520249518,"conserved_human_in_mouse"
"GO:0009058","biosynthetic process",0.472732351889211,1591,1.3614647097187,1.5073346529575e-65,5.47664923907893e-63,100425,1352,6841,1.23242001743065,4.67128386402999e-26,5.30385355395072e-24,1.3614647097187,"biosynthetic process",5.47664923907893e-63,62.261485073278,"conserved_human_in_mouse"
"GO:0009059","macromolecule biosynthetic process",0.429272482046657,1484,1.39846752285002,1.70024387752722e-65,5.7914557078271e-63,103334,1205,5938,1.26546021584329,5.58925852415897e-27,6.76921310148142e-25,1.39846752285002,"macromolecule biosynthetic process",5.7914557078271e-63,62.2372122607257,"conserved_human_in_mouse"
"GO:0019222","regulation of metabolic process",0.413697287253658,1442,1.41004872718845,1.26620139674859e-64,4.05929271310578e-62,109294,1150,5468,1.31150809931933,2.95027825199387e-32,7.65667451112696e-30,1.41004872718845,"regulation of metabolic process",4.05929271310578e-62,61.391549630845,"conserved_human_in_mouse"
"GO:0051252","regulation of RNA metabolic process",0.265801164617524,1043,1.58737290316306,3.73269846575044e-63,1.13017814657444e-60,109210,732,3094,1.47534100844303,3.63844032025847e-34,1.41639283895776e-31,1.58737290316306,"regulation of RNA metabolic process",1.13017814657444e-60,59.9468530945907,"conserved_human_in_mouse"
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",0.173653220573367,770,1.79373968481947,9.99263637989623e-63,2.86630885633866e-60,111413,503,1889,1.66049537247694,1.0058148770519e-35,7.83098725704696e-33,1.79373968481947,"positive regulation of nucleobase-containing compound metabolic process",2.86630885633866e-60,59.5426770144353,"conserved_human_in_mouse"
"GO:0006351","DNA-templated transcription",0.254895973667166,1001,1.58862954661519,8.69079621745357e-60,2.32886048402635e-57,107594,701,2986,1.46396217922529,2.23119945699096e-31,4.34287037164313e-29,1.58862954661519,"DNA-templated transcription",2.32886048402635e-57,56.6328565281387,"conserved_human_in_mouse"
"GO:0060255","regulation of macromolecule metabolic process",0.386077447488439,1355,1.41976477036377,8.97359085588135e-60,2.32886048402635e-57,111794,1050,4983,1.31401418761737,7.37600939485643e-29,1.14855003434193e-26,1.41976477036377,"regulation of macromolecule metabolic process",2.32886048402635e-57,56.6328565281387,"conserved_human_in_mouse"
