"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0016070","RNA metabolic process",0.390020323352465,1165,1.21919339996011,5.33529577628688e-18,1.70655332589351e-14,105868,872,3869,1.27744267041474,2.75603554252375e-19,1.00099210904463e-16,1.21919339996011,"RNA metabolic process",1.70655332589351e-14,13.7678801364627,"conserved_human_in_mouse"
"GO:0006357","regulation of transcription by RNA polymerase II",0.262385256095229,834,1.29736010449367,8.02900483485945e-18,1.70655332589351e-14,105589,553,2289,1.36931385424535,1.11399534183408e-17,2.75865755559639e-15,1.29736010449367,"regulation of transcription by RNA polymerase II",1.70655332589351e-14,13.7678801364627,"conserved_human_in_mouse"
"GO:0045944","positive regulation of transcription by RNA polymerase II",0.163099872304947,563,1.40892764120439,9.39732007650609e-18,1.70655332589351e-14,109086,356,1245,1.62070626201423,2.10586614036281e-23,3.82425291089886e-20,1.40892764120439,"positive regulation of transcription by RNA polymerase II",1.70655332589351e-14,13.7678801364627,"conserved_human_in_mouse"
"GO:0006355","regulation of DNA-templated transcription",0.317127040418714,976,1.2561759048134,1.39855533971321e-17,1.90483237268939e-14,107591,683,2846,1.36022098757755,1.85293032165688e-21,1.44210919891239e-18,1.2561759048134,"regulation of DNA-templated transcription",1.90483237268939e-14,13.7201432366913,"conserved_human_in_mouse"
"GO:2001141","regulation of RNA biosynthetic process",0.317384696350896,976,1.25515612919895,1.77632218601314e-17,1.93548065387992e-14,107591,683,2851,1.35783547199078,3.00455857937171e-21,2.04610439255214e-18,1.25515612919895,"regulation of RNA biosynthetic process",1.93548065387992e-14,13.713211165319,"conserved_human_in_mouse"
"GO:0032774","RNA biosynthetic process",0.374689222382347,1121,1.22114806905564,3.33580028561611e-17,3.02890665933943e-14,104648,824,3692,1.26499608938485,8.01847013590665e-17,1.36514454063811e-14,1.22114806905564,"RNA biosynthetic process",3.02890665933943e-14,13.5187141099482,"conserved_human_in_mouse"
"GO:0045893","positive regulation of DNA-templated transcription",0.208662995568966,684,1.33796446613896,7.00126689696438e-17,5.44898600780885e-14,107394,447,1625,1.55911382092455,1.39145893771518e-25,5.0266389778098e-22,1.33796446613896,"positive regulation of DNA-templated transcription",5.44898600780885e-14,13.2636843072985,"conserved_human_in_mouse"
"GO:1902680","positive regulation of RNA biosynthetic process",0.208836665293746,684,1.33685180749603,8.41242769051742e-17,5.72886325724236e-14,107394,447,1627,1.55719727043786,1.84531533693458e-25,5.0266389778098e-22,1.33685180749603,"positive regulation of RNA biosynthetic process",5.72886325724236e-14,13.2419315438411,"conserved_human_in_mouse"
"GO:0051252","regulation of RNA metabolic process",0.340674382723477,1031,1.23524499601775,1.037390146098e-16,6.1234782655889e-14,109344,730,3094,1.33729190080805,5.45784523478141e-21,3.30381564878768e-18,1.23524499601775,"regulation of RNA metabolic process",6.1234782655889e-14,13.2130018192847,"conserved_human_in_mouse"
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",0.23809258122162,762,1.30630029111979,1.20532202307411e-16,6.1234782655889e-14,111421,502,1955,1.45539413014207,1.31681384514991e-21,1.19566697139611e-18,1.30630029111979,"positive regulation of nucleobase-containing compound metabolic process",6.1234782655889e-14,13.2130018192847,"conserved_human_in_mouse"
