"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity",0.0011961115927461,7,34.8350997677448,1.95441191545546e-09,1.66906777579896e-06,115131,2,9,16.2372245663385,0.00630235141460354,0.122927378610002,34.8350997677448,"negative regulation of cyclin-dependent protein serine/threonine kinase activity",1.66906777579896e-06,5.77752602757608,"human_specific"
"GO:1904030","negative regulation of cyclin-dependent protein kinase activity",0.0013467165762591,7,30.9394473946464,4.38883956477596e-09,1.87403449415933e-06,115131,2,10,14.6135021097046,0.007807210804633,0.123616297444846,30.9394473946464,"negative regulation of cyclin-dependent protein kinase activity",1.87403449415933e-06,5.72722241959275,"human_specific"
"GO:0043922","host-mediated suppression of viral transcription",0.00180271265225174,7,23.113315710422,3.17004064635791e-08,9.02404903996553e-06,124199,2,10,14.6135021097046,0.007807210804633,0.123616297444846,23.113315710422,"host-mediated suppression of viral transcription",9.02404903996553e-06,5.0445985532401,"human_specific"
"GO:0044793","host-mediated suppression of viral proces",0.00204521792856458,7,20.3727270745715,7.41241755213909e-08,1.5825511473817e-05,124199,2,13,11.2411554690036,0.013172080272124,0.135529597016794,20.3727270745715,"host-mediated suppression of viral proces",1.5825511473817e-05,4.80064224487037,"human_specific"
"GO:0043921","host-mediated perturbation of viral transcription",0.00303096400732353,7,13.7470014708159,1.01334655807781e-06,0.00017307959211969,124199,2,24,6.08895921237693,0.042249949824807,0.215827210661051,13.7470014708159,"host-mediated perturbation of viral transcription",0.00017307959211969,3.76175413693285,"human_specific"
"GO:0043923","host-mediated activation of viral transcription",0.00232307272007664,6,15.3737269632728,3.25042643493141e-06,0.000462644029238571,134288,1,16,4.5667194092827,0.197949773041831,0.412155454883279,15.3737269632728,"host-mediated activation of viral transcription",0.000462644029238571,3.33475303835002,"human_specific"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",0.00374771027069958,7,11.1178996392613,4.04967281928618e-06,0.000494060083952913,115131,2,32,4.5667194092827,0.0707506182935866,0.268537902323213,11.1178996392613,"regulation of cyclin-dependent protein serine/threonine kinase activity",0.000494060083952913,3.30622023216451,"human_specific"
"GO:0043392","negative regulation of DNA binding",0.00274902663540217,6,12.9916113777708,8.4156734292943e-06,0.000898373138577166,134288,1,17,4.29808885579548,0.208936762452217,0.424838083652841,12.9916113777708,"negative regulation of DNA binding",0.000898373138577166,3.04654324198938,"human_specific"
"GO:0044794","host-mediated activation of viral process",0.0043117257931771,7,9.66357061309425,9.98422676211545e-06,0.000947392183871844,115199,2,34,4.29808885579548,0.0786303432893634,0.278382691118669,9.66357061309425,"host-mediated activation of viral process",0.000947392183871844,3.02347020258815,"human_specific"
"GO:0071901","negative regulation of protein serine/threonine kinase activity",0.00439802309631176,7,9.47395358191931,1.13321820545798e-05,0.000967768347461117,115131,2,34,4.29808885579548,0.0786303432893634,0.278382691118669,9.47395358191931,"negative regulation of protein serine/threonine kinase activity",0.000967768347461117,3.01422858634785,"human_specific"
"GO:0051290","protein heterotetramerization",0.0018948241130038,5,15.7069485012645,1.98460699160909e-05,0.00154077670075833,195407,2,13,11.2411554690036,0.013172080272124,0.135529597016794,15.7069485012645,"protein heterotetramerization",0.00154077670075833,2.81226029746292,"human_specific"
"GO:0051100","negative regulation of binding",0.00493667030879765,7,8.44023685203616,2.35953146201312e-05,0.001679199890466,115138,2,48,3.04447960618847,0.139993784708325,0.350874303035929,8.44023685203616,"negative regulation of binding",0.001679199890466,2.77489760275463,"human_specific"
"GO:0044788","host-mediated perturbation of viral process",0.00709218829773093,8,6.71429545014799,3.11315069156057e-05,0.00204510053122518,108757,3,65,3.37234664070107,0.0595638247399818,0.248754661735816,6.71429545014799,"host-mediated perturbation of viral process",0.00204510053122518,2.68928533847169,"human_specific"
"GO:0071549","cellular response to dexamethasone stimulus",0.00428910266656414,6,8.32675001992788,9.81864338871967e-05,0.005989372467119,134288,1,27,2.70620409438975,0.310890269601525,0.50667994320554,8.32675001992788,"cellular response to dexamethasone stimulus",0.005989372467119,2.22261867816899,"human_specific"
"GO:0051851","host-mediated perturbation of symbiont process",0.00857363002749716,8,5.55412905225964,0.000115224857409935,0.00656013521520563,108757,3,89,2.46294979377044,0.122809559207404,0.33095696430041,5.55412905225964,"host-mediated perturbation of symbiont process",0.00656013521520563,2.18308720900658,"human_specific"
"GO:0051291","protein heterooligomerization",0.00329717640573732,5,9.02648238963405,0.000262119143713336,0.0139906092956993,195407,2,28,5.21910789632309,0.0558519142041956,0.239686104172779,9.02648238963405,"protein heterooligomerization",0.0139906092956993,1.85416337142683,"human_specific"
"GO:0071900","regulation of protein serine/threonine kinase activity",0.0152701036606584,10,3.89806191539914,0.000290948495567919,0.0146158832479413,83437,4,112,2.60955394816154,0.0678989723828608,0.262378834456847,3.89806191539914,"regulation of protein serine/threonine kinase activity",0.0146158832479413,1.83517493479737,"human_specific"
"GO:0035821","modulation of process of another organism",0.00993180598462928,8,4.7946010718236,0.000308626263662618,0.0146426016204376,108757,3,100,2.1920253164557,0.157472680383067,0.366003503301755,4.7946010718236,"modulation of process of another organism",0.0146426016204376,1.83438175326264,"human_specific"
"GO:0031960","response to corticosteroid",0.0195079488262905,11,3.35638518735242,0.000510537521637786,0.0223758306816091,136120,5,147,2.48528947443956,0.0517084887785837,0.236482849300977,3.35638518735242,"response to corticosteroid",0.0223758306816091,1.65022083293976,"human_specific"
"GO:0009311","oligosaccharide metabolic process",0.00588019687497897,6,6.07365475571997,0.000524024137742601,0.0223758306816091,119009,5,56,6.52388487040386,0.000996048642689641,0.0773295946233594,6.07365475571997,"oligosaccharide metabolic process",0.0223758306816091,1.65022083293976,"human_specific"
"GO:0006469","negative regulation of protein kinase activity",0.00839971210206068,7,4.96048747390338,0.000601165540836421,0.0225086360678541,115131,2,72,2.02965307079231,0.258801174026651,0.473193478207046,4.96048747390338,"negative regulation of protein kinase activity",0.0225086360678541,1.64765082068812,"human_specific"
"GO:0099633","protein localization to postsynaptic specialization membrane",0.0039925243166232,5,7.45440788876066,0.000621573263484717,0.0225086360678541,55556,3,37,5.92439274717756,0.0139637953164721,0.135893478283427,7.45440788876066,"protein localization to postsynaptic specialization membrane",0.0225086360678541,1.64765082068812,"human_specific"
