"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity",0.0011961115927461,7,34.8350997677448,1.95441191545546e-09,1.66906777579896e-06,115131,2,9,16.2372245663385,0.00630235141460354,0.122927378610002,34.8350997677448,"negative regulation of cyclin-dependent protein serine/threonine kinase activity",1.66906777579896e-06,5.77752602757608,"human_specific"
"GO:1904030","negative regulation of cyclin-dependent protein kinase activity",0.0013467165762591,7,30.9394473946464,4.38883956477596e-09,1.87403449415933e-06,115131,2,10,14.6135021097046,0.007807210804633,0.123616297444846,30.9394473946464,"negative regulation of cyclin-dependent protein kinase activity",1.87403449415933e-06,5.72722241959275,"human_specific"
"GO:0043922","host-mediated suppression of viral transcription",0.00180271265225174,7,23.113315710422,3.17004064635791e-08,9.02404903996553e-06,124199,2,10,14.6135021097046,0.007807210804633,0.123616297444846,23.113315710422,"host-mediated suppression of viral transcription",9.02404903996553e-06,5.0445985532401,"human_specific"
"GO:0044793","host-mediated suppression of viral proces",0.00204521792856458,7,20.3727270745715,7.41241755213909e-08,1.5825511473817e-05,124199,2,13,11.2411554690036,0.013172080272124,0.135529597016794,20.3727270745715,"host-mediated suppression of viral proces",1.5825511473817e-05,4.80064224487037,"human_specific"
"GO:0043921","host-mediated perturbation of viral transcription",0.00303096400732353,7,13.7470014708159,1.01334655807781e-06,0.00017307959211969,124199,2,24,6.08895921237693,0.042249949824807,0.215827210661051,13.7470014708159,"host-mediated perturbation of viral transcription",0.00017307959211969,3.76175413693285,"human_specific"
"GO:0043923","host-mediated activation of viral transcription",0.00232307272007664,6,15.3737269632728,3.25042643493141e-06,0.000462644029238571,134288,1,16,4.5667194092827,0.197949773041831,0.412155454883279,15.3737269632728,"host-mediated activation of viral transcription",0.000462644029238571,3.33475303835002,"human_specific"
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",0.00374771027069958,7,11.1178996392613,4.04967281928618e-06,0.000494060083952913,115131,2,32,4.5667194092827,0.0707506182935866,0.268537902323213,11.1178996392613,"regulation of cyclin-dependent protein serine/threonine kinase activity",0.000494060083952913,3.30622023216451,"human_specific"
"GO:0043392","negative regulation of DNA binding",0.00274902663540217,6,12.9916113777708,8.4156734292943e-06,0.000898373138577166,134288,1,17,4.29808885579548,0.208936762452217,0.424838083652841,12.9916113777708,"negative regulation of DNA binding",0.000898373138577166,3.04654324198938,"human_specific"
"GO:0044794","host-mediated activation of viral process",0.0043117257931771,7,9.66357061309425,9.98422676211545e-06,0.000947392183871844,115199,2,34,4.29808885579548,0.0786303432893634,0.278382691118669,9.66357061309425,"host-mediated activation of viral process",0.000947392183871844,3.02347020258815,"human_specific"
"GO:0071901","negative regulation of protein serine/threonine kinase activity",0.00439802309631176,7,9.47395358191931,1.13321820545798e-05,0.000967768347461117,115131,2,34,4.29808885579548,0.0786303432893634,0.278382691118669,9.47395358191931,"negative regulation of protein serine/threonine kinase activity",0.000967768347461117,3.01422858634785,"human_specific"
