"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0009615","response to virus",0.0380659872264346,6,4.50345791398586,0.00190640864172135,0.188188916863601,53044,4,373,3.42132398432667,0.0292047871256377,0.58044514412205
"GO:0051607","defense response to virus",0.0269932325453004,5,5.29233179528973,0.00236715618696354,0.188188916863601,63555,3,291,3.28905630452022,0.0629617915206191,0.882618997766573
"GO:0010639","negative regulation of organelle organization",0.0404561724770879,5,3.53115814250716,0.012779105498377,0.649716324268706,150509,3,369,2.593808630394,0.108937035920592,0.882618997766573
"GO:0043603","amide metabolic process",0.0495790391905838,5,2.8814020035361,0.0281189804411902,0.649716324268706,21901,6,474,4.03846153846154,0.00352664826937276,0.280049926084682
"GO:0034097","response to cytokine",0.108440240571861,8,2.10781004695356,0.0308835813555019,0.649716324268706,5018,7,925,2.41434511434511,0.0245360746250391,0.58044514412205
"GO:0044772","mitotic cell cycle phase transition",0.0508461995127883,5,2.80959332705314,0.0309067466362542,0.649716324268706,73562,3,430,2.22584973166368,0.151728708101595,0.882618997766573
"GO:0051301","cell division",0.0694074787802216,6,2.46988616272029,0.0318147511591775,0.649716324268706,64191,4,618,2.06497386109037,0.127827580971296,0.882618997766573
"GO:1901652","response to peptide",0.109622923539251,8,2.08506962952495,0.0326901295229538,0.649716324268706,5018,7,942,2.37077413032827,0.0267756223158344,0.58044514412205
"GO:1903047","mitotic cell cycle process",0.0793886419672562,6,2.15935891055142,0.0553888140411928,0.766402419332527,67419,4,739,1.72686582700115,0.200484751625707,0.882618997766573
"GO:0010638","positive regulation of organelle organization",0.0607734019708567,5,2.35065239437556,0.0588516874145195,0.766402419332527,94470,3,531,1.80247718383312,0.231779361876677,0.924634281571773
"GO:0044770","cell cycle phase transition",0.060974412234888,5,2.34290315594717,0.0595324904941544,0.766402419332527,73562,3,532,1.79908906882591,0.232612397879691,0.924634281571773
"GO:0023051","regulation of signaling",0.373309425587058,18,1.37763924250496,0.0623992234207683,0.766402419332527,78439,19,3385,1.79076241336212,0.00519604253434006,0.280049926084682
"GO:0010646","regulation of cell communication",0.37347982099576,18,1.3770107121572,0.0626618330271878,0.766402419332527,78439,19,3390,1.78812117086453,0.00528396086952231,0.280049926084682
"GO:0051129","negative regulation of cellular component organization",0.0843070248912526,6,2.03338418891779,0.0701776965404724,0.797018124995365,125533,4,755,1.69026999490576,0.210940389403332,0.882618997766573
"GO:0022402","cell cycle process",0.13039701835539,8,1.7528884590633,0.0773220979604515,0.819614238380786,85653,6,1273,1.50371623663061,0.206561797604109,0.882618997766573
"GO:0000278","mitotic cell cycle",0.0942385821897048,6,1.81909115614114,0.10658992222207,0.929388849673867,67419,4,861,1.48217636022514,0.2836518603841,0.948737279221607
"GO:0051707","response to other organism",0.140937958619128,8,1.62178756391046,0.110086939000056,0.929388849673867,52050,6,1445,1.32472717593825,0.298024446843927,0.948737279221607
"GO:0051130","positive regulation of cellular component organization",0.140997878603356,8,1.62109835151795,0.110293232891542,0.929388849673867,141298,6,1218,1.57161803713528,0.179888836187558,0.882618997766573
"GO:0043207","response to external biotic stimulus",0.141219746260805,8,1.61855147473005,0.111059044929582,0.929388849673867,52050,6,1449,1.32107023411371,0.300261386231005,0.948737279221607
"GO:0009607","response to biotic stimulus",0.144599953720817,8,1.58071577956891,0.123106578397813,0.978697298262616,52050,6,1487,1.28731053747866,0.321684935299085,0.948737279221607
"GO:0010564","regulation of cell cycle process",0.0788103322615515,5,1.81267022683062,0.137887002186488,0.998504680939136,125820,3,724,1.32198257543561,0.397483077778812,0.948737279221607
"GO:1902531","regulation of intracellular signal transduction",0.226264245362316,11,1.3890206726319,0.148735959546706,0.998504680939136,94232,9,1900,1.51123481781377,0.134886793201104,0.882618997766573
"GO:0033043","regulation of organelle organization",0.127726093244205,7,1.56585075860428,0.151396271263028,0.998504680939136,112820,5,1166,1.3680894577121,0.3013708055476,0.948737279221607
"GO:0045087","innate immune response",0.0813778872141526,5,1.75547864103675,0.151900372571346,0.998504680939136,63555,3,884,1.08270971110338,0.528919304958905,0.948737279221607
"GO:0019637","organophosphate metabolic process",0.106135514970844,6,1.61518575074199,0.161273195531186,0.998504680939136,23567,7,1023,2.18305887660726,0.0393946815812975,0.695972707936256
"GO:0044419","biological process involved in interspecies interaction between organisms",0.154829375552889,8,1.47627947057986,0.163800699654278,0.998504680939136,52050,6,1564,1.22393271689947,0.365817609237066,0.948737279221607
"GO:0140546","defense response to symbiont",0.0854084720767471,5,1.67263433455141,0.175108107335718,0.998504680939136,63555,3,942,1.01604605585497,0.572788052372978,0.948737279221607
"GO:0098542","defense response to other organism",0.0872056131993444,5,1.63816453570006,0.185900406275379,0.998504680939136,63555,3,964,0.992858282796042,0.588786424133977,0.948737279221607
"GO:0048729","tissue morphogenesis",0.0904846770357053,5,1.57879927891848,0.20623964373537,0.998504680939136,165612,4,680,1.87669683257919,0.163508515423467,0.882618997766573
"GO:0006629","lipid metabolic process",0.140182639386244,7,1.42671018947604,0.211712338688182,0.998504680939136,18183,8,1319,1.93503236717793,0.0515387102591517,0.819465493120512
"GO:0007049","cell cycle",0.165436457001403,8,1.38162671465752,0.212229482759347,0.998504680939136,85653,6,1582,1.21000680735194,0.376223501626215,0.948737279221607
"GO:0035556","intracellular signal transduction",0.324331452598921,14,1.23330622668487,0.216585341168347,0.998504680939136,74413,12,2856,1.34049773755656,0.172577364672366,0.882618997766573
"GO:0007267","cell-cell signaling",0.141839574294379,7,1.41004371308188,0.220406428194949,0.998504680939136,152877,7,1204,1.8548747763864,0.0803717471112306,0.882618997766573
"GO:0042221","response to chemical",0.35995430888372,15,1.1906273046168,0.248879040924676,0.998504680939136,72528,15,3485,1.37319280432623,0.113621879922948,0.882618997766573
"GO:0009605","response to external stimulus",0.22616496809883,10,1.2633003604229,0.254148161159633,0.998504680939136,58055,8,2230,1.1445325974474,0.399349302741653,0.948737279221607
"GO:0071345","cellular response to cytokine stimulus",0.098161965943904,5,1.4553207190123,0.256684241896536,0.998504680939136,6895,4,824,1.54873039581777,0.257700211641544,0.948737279221607
"GO:0006955","immune response",0.149908700607638,7,1.33414537774874,0.264642126499781,0.998504680939136,47710,5,1588,1.00452916101531,0.564510507211391,0.948737279221607
"GO:0033993","response to lipid",0.108876248500813,5,1.31210566881422,0.331818975377988,0.998504680939136,38516,5,901,1.77046870998036,0.150523757891122,0.882618997766573
"GO:0006508","proteolysis",0.139576792682323,6,1.22820254093919,0.361993145210382,0.998504680939136,52899,5,1413,1.12894006206108,0.458077671940701,0.948737279221607
"GO:0009966","regulation of signal transduction",0.33232130771993,13,1.11767907383658,0.370948635887052,0.998504680939136,80945,13,2921,1.41989044847655,0.113959025053854,0.882618997766573
"GO:0023052","signaling",0.531338724756701,20,1.07545063968418,0.381336632284711,0.998504680939136,69072,25,5490,1.45281630937369,0.0175087111066235,0.58044514412205
"GO:0007154","cell communication",0.533040124877176,20,1.0720179302829,0.389094592679033,0.998504680939136,69072,25,5521,1.44465885500118,0.0188285399656303,0.58044514412205
"GO:0051726","regulation of cell cycle",0.116926711212427,5,1.22176653542924,0.390126783276806,0.998504680939136,125820,3,1033,0.92653957852409,0.636526013178539,0.948737279221607
"GO:1901701","cellular response to oxygen-containing compound",0.14857805129668,6,1.15379472225183,0.421694657607337,0.998504680939136,67066,6,1223,1.56519277942009,0.182250726919007,0.882618997766573
"GO:0071705","nitrogen compound transport",0.205500988532396,8,1.11226437499787,0.432798126136619,0.998504680939136,71634,8,1931,1.32175437198741,0.254470015678371,0.948737279221607
"GO:0048583","regulation of response to stimulus",0.404510710926383,15,1.05948103967369,0.448884700848192,0.998504680939136,72693,15,3847,1.24397632520845,0.207779762637889,0.882618997766573
"GO:0010647","positive regulation of cell communication",0.208754152528579,8,1.0949311704836,0.451819450042818,0.998504680939136,45524,8,1797,1.42031591113394,0.196461753834509,0.882618997766573
"GO:0023056","positive regulation of signaling",0.208874352671804,8,1.09430107453438,0.452521816090001,0.998504680939136,45524,8,1796,1.42110673291074,0.196052408375521,0.882618997766573
"GO:0070887","cellular response to chemical stimulus",0.237982367742433,9,1.08051222274232,0.459148467058959,0.998504680939136,55176,9,2097,1.36926378342687,0.204684821195525,0.882618997766573
"GO:0060429","epithelium development",0.157039113244481,6,1.0916297722701,0.477646488437174,0.998504680939136,166442,5,1265,1.26102158710854,0.363917965847844,0.948737279221607
"GO:0050896","response to stimulus",0.66552988961069,24,1.03032830894402,0.47854387831652,0.998504680939136,66369,29,7680,1.20470252403846,0.108869840535084,0.882618997766573
"GO:0015031","protein transport",0.160807294416581,6,1.06604972150378,0.502236331425996,0.998504680939136,79932,6,1470,1.3021978021978,0.312064113854083,0.948737279221607
"GO:0002376","immune system process",0.246771155986486,9,1.04202963314294,0.507955698405239,0.998504680939136,37306,6,2393,0.799929280915491,0.780228430176517,0.948737279221607
"GO:0051128","regulation of cellular component organization",0.276069376078089,10,1.03493654302848,0.513019679851449,0.998504680939136,131675,9,2518,1.14032809922405,0.390777476445852,0.948737279221607
"GO:0006796","phosphate-containing compound metabolic process",0.163338471717555,6,1.04952966454227,0.518579747282249,0.998504680939136,23567,7,1457,1.53278601974553,0.16841941169303,0.882618997766573
"GO:0006793","phosphorus metabolic process",0.163723924206262,6,1.04705877445622,0.521054481933234,0.998504680939136,23567,7,1460,1.52963645943098,0.169664020258348,0.882618997766573
"GO:0009887","animal organ morphogenesis",0.138589750100595,5,1.03079154665803,0.544440938830928,0.998504680939136,165612,4,1060,1.20391872278665,0.427027544393916,0.948737279221607
"GO:0048518","positive regulation of biological process",0.570453933827185,20,1.00170852989802,0.566162304432567,0.998504680939136,72154,20,5905,1.08057057252654,0.382125160369155,0.948737279221607
"GO:1901700","response to oxygen-containing compound",0.200124168614312,7,0.999379542135408,0.567881654495718,0.998504680939136,58123,7,1715,1.3021978021978,0.288743536939825,0.948737279221607
"GO:0006810","transport",0.402609610268308,14,0.993518261358519,0.576295634176677,0.998504680939136,77877,14,4180,1.06854987118145,0.439105554985297,0.948737279221607
"GO:0009987","cellular process",0.95925467267006,34,1.01269099761029,0.57983428576933,0.998504680939136,62449,48,14436,1.06080951467485,0.177388726973867,0.882618997766573
