"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0009615","response to virus",0.0380659872264346,6,4.50345791398586,0.00190640864172135,0.188188916863601,53044,4,373,3.42132398432667,0.0292047871256377,0.58044514412205,4.50345791398586,"response to virus",0.188188916863601,0.725405957352519,"mouse_specific"
"GO:0051607","defense response to virus",0.0269932325453004,5,5.29233179528973,0.00236715618696354,0.188188916863601,63555,3,291,3.28905630452022,0.0629617915206191,0.882618997766573,5.29233179528973,"defense response to virus",0.188188916863601,0.725405957352519,"mouse_specific"
"GO:0010639","negative regulation of organelle organization",0.0404561724770879,5,3.53115814250716,0.012779105498377,0.649716324268706,150509,3,369,2.593808630394,0.108937035920592,0.882618997766573,3.53115814250716,"negative regulation of organelle organization",0.649716324268706,0.18727622135106,"mouse_specific"
"GO:0043603","amide metabolic process",0.0495790391905838,5,2.8814020035361,0.0281189804411902,0.649716324268706,21901,6,474,4.03846153846154,0.00352664826937276,0.280049926084682,2.8814020035361,"amide metabolic process",0.649716324268706,0.18727622135106,"mouse_specific"
"GO:0034097","response to cytokine",0.108440240571861,8,2.10781004695356,0.0308835813555019,0.649716324268706,5018,7,925,2.41434511434511,0.0245360746250391,0.58044514412205,2.10781004695356,"response to cytokine",0.649716324268706,0.18727622135106,"mouse_specific"
"GO:0044772","mitotic cell cycle phase transition",0.0508461995127883,5,2.80959332705314,0.0309067466362542,0.649716324268706,73562,3,430,2.22584973166368,0.151728708101595,0.882618997766573,2.80959332705314,"mitotic cell cycle phase transition",0.649716324268706,0.18727622135106,"mouse_specific"
"GO:0051301","cell division",0.0694074787802216,6,2.46988616272029,0.0318147511591775,0.649716324268706,64191,4,618,2.06497386109037,0.127827580971296,0.882618997766573,2.46988616272029,"cell division",0.649716324268706,0.18727622135106,"mouse_specific"
"GO:1901652","response to peptide",0.109622923539251,8,2.08506962952495,0.0326901295229538,0.649716324268706,5018,7,942,2.37077413032827,0.0267756223158344,0.58044514412205,2.08506962952495,"response to peptide",0.649716324268706,0.18727622135106,"mouse_specific"
"GO:1903047","mitotic cell cycle process",0.0793886419672562,6,2.15935891055142,0.0553888140411928,0.766402419332527,67419,4,739,1.72686582700115,0.200484751625707,0.882618997766573,2.15935891055142,"mitotic cell cycle process",0.766402419332527,0.115543132972951,"mouse_specific"
"GO:0010638","positive regulation of organelle organization",0.0607734019708567,5,2.35065239437556,0.0588516874145195,0.766402419332527,94470,3,531,1.80247718383312,0.231779361876677,0.924634281571773,2.35065239437556,"positive regulation of organelle organization",0.766402419332527,0.115543132972951,"mouse_specific"
